	hydroxyurea_r	hydroxyurea_k	NaCl_r	NaCl_k	allantoin_r	allantoin_k	caffeine_r	caffeine_k	galactose_r	galactose_k	glycine_r	glycine_k	isoleucine_r	isoleucine_k	phleomycin_r	phleomycin_k	rapamycin_r	rapamycin_k
290-19	0.126061088	1715911.901	0.074903829	1130330.613	0.130887519	1811463.808	0.058886794	281056.9684	0.103217174	5140014.399	0.111289968	1263344.48	0.110645223	1477052.993	0.10317217	4599264.527	0.094611303	1853381.331
290-21	0.138607275	1432260.842	0.073959316	867733.1023	0.15026982	1182414.455	-1	-1	0.106710985	3556566.915	0.126938317	1027627.541	0.119408311	762758.1906	0.10495181	3876726.711	0.090611427	831246.4446
290-22	0.122202208	2340369.008	0.070063676	1323508.769	0.130069076	2259059.884	0.043090479	448137.1892	0.112170182	7068130.237	0.112111174	1902670.681	0.107530906	2239960.122	0.106954857	5300627.26	0.090826692	2370366.013
290-24	0.141841429	818941.5318	0.067440811	729912.3756	0.158443166	1164658.806	0.056587289	288139.3069	0.127971264	3871202.832	0.130394441	1028811.232	0.131425927	1099354.942	0.114561778	2773639.677	0.104910198	1438068.975
290-25	0.122073161	1515793.035	0.065227353	984825.3073	0.141597347	1633822.37	0.037941726	463815.9304	0.118442188	5609145.979	0.122198695	1638686.433	0.110031909	1411539.913	0.109702999	4216617.09	0.092656094	1652430.601
290-26	0.135317992	1450067.55	0.095441338	2398232.263	0.139121725	1154840.574	0.052935228	253998.606	0.12050763	4313530.5	0.121142625	978675.1528	0.123512048	1095790.954	0.115219717	3407224.282	0.096504361	1496969.565
290-27	0.133752368	1901099.094	0.075497451	1286901.291	0.141735083	1760447.757	0.058702908	855489.1356	0.118234463	5355611.94	0.118809421	1585361.878	0.113647806	1801121.129	0.112469789	4415907.375	0.099278382	2442425.525
290-28	0.134740549	1536511.869	0.107348067	2277736.323	0.170123262	897577.7985	0.074156037	801060.1164	0.119932562	4597050.546	0.141659986	1066454.418	0.134777733	1006911.999	0.113808116	3405716.487	0.157617957	1226539.133
290-29	0.125436028	1629629.877	0.097742632	1550896.826	0.143118568	1199740.492	-1	-1	0.106107639	4129113.54	0.125842292	852550.2886	0.122700882	1232824.892	0.105617309	3866004.994	0.143225864	1004946.254
290-3	0.137635576	1729092.988	0.093681556	1415933.177	0.152532847	1297013.657	0.048111074	770057.2376	0.122987013	4825717.558	0.119693798	1111667.761	0.123154526	1399680.79	0.116646162	3370699.883	0.103448493	2399675.626
290-30	0.130033027	1232376.675	0.104839823	1717315.273	0.147076711	1159364.034	0.051511949	518843.2616	0.130406822	4007401.346	0.107953226	717598.1848	0.122012137	1017030.682	0.117572159	2609364.278	0.119552086	1216754.431
290-32	0.13519006	1828977.047	0.094004503	1756630.105	0.140728508	1449966.509	0.049000203	1086251.261	0.113819052	4057101.551	0.119471958	1120871.125	0.113429374	1308574.634	0.108217973	4007744.425	0.145675162	1642068.599
290-33	0.145503694	1256878.094	0.088675099	1354273.876	0.151553307	1392581.122	0.05321632	1152342.337	0.129579299	5276367.678	0.125798146	1133140.424	0.123086364	1345290.262	0.118497652	3453961.58	0.138411938	1334190.554
290-34	0.119896419	2422595.591	0.086437702	1961104.965	0.129838821	2058714.412	0.057360856	1036876.785	0.113426602	8181471.302	0.11577013	1651633.272	0.107246591	2124371.928	0.105252381	5381800.983	0.143899754	2036870.702
290-35	0.131627214	1535470.539	0.098937015	1982275.843	0.151666723	1429681.349	0.074055364	1256724.602	0.122350234	4566611.528	0.129072201	1188551.288	0.120274616	1236130.255	0.1143689	3477163.71	0.144581642	1567339.342
290-36	0.124335308	1985857.234	0.08614658	1517631.956	0.129174908	2068157.207	0.066564059	1283868.771	0.110038527	6607864.921	0.118895861	1627882.907	0.108893146	1920143.506	0.116427581	5018134.13	0.137763755	1650664.85
290-37	0.143547985	1434147.891	0.098529208	1742659.564	0.156018881	1265475.962	0.052980781	1116856.855	0.128107489	5264567.783	0.121172872	865446.1215	0.127487511	1241220.725	0.117092341	2999513.591	0.149100795	1658536.458
290-38	0.121572928	1522170.528	0.087076877	1318139.357	0.14142429	1444652.332	0.062092508	671403.8323	0.114455673	5116194.777	0.12327867	1084214.342	0.117842023	1329712.215	0.107814878	3827387.418	0.148037083	1354738.358
290-39	0.13055638	1806753.765	0.112738644	3247998.772	0.133797869	1174762.49	0.065786365	705615.0321	0.127422956	4631231.121	0.110220073	874214.9493	0.120657633	1141474.329	0.114492251	3309719.057	0.142661916	1769196.345
